egiftID,Main_id
AC0139,41547-5
AC0140,42240-0
AC0142,42666-8
AC0143,43613-7
AC0144,48096-3
AC0145,48250-5
AC0146,48733-5
AC0147,48816-9
AC0148,48942-7
AC0149,49088-5
AC0150,49093-7
AC0152,49492-0
AC0153,49523-3
AC0154,49548-2
AC0155,43706-8
AC0156,49860-9
AC0157,49896-8
AC0158,50456-4
AC0159,43857-5
AC0160,50989-9
AC0161,50995-4
AC0162,51484-2
AC0163,52160-2
AC0164,52264-3
AC0166,52648-7
AC0167,52922-2
AC0168,53059-6
AC0169,44043-7
AC0170,60059-4
AC0171,53539-7
AC0172,53556-2
AC0173,53879-2
AC0174,54015-9
AC0175,54141-7
AC0176,54511-2
AC0177,54535-8
AC0178,54690-4
AC0179,54931-2
AC0180,55174-0
AC0181,55203-7
AC0182,55478-9
AC0183,55792-2
AC0184,55867-5
AC0185,56062-1
AC0187,56180-8
AC0188,60274-1
AC0189,56306-8
AC0190,56347-9
AC0191,57108-9
AC0192,57275-8
AC0193,57411-2
AC0194,57498-9
AC0195,57677-0
AC0196,57721-6
AC0197,57728-7
AC0198,57755-9
AC0199,57872-3
AC0200,57943-4
AC0201,57978-0
AC0202,58132-5
AC0203,58167-1
AC0204,58280-3
AC0205,59081-1
AC0206,59118-2
AC0208,59623-9
AC0209,59709-2
AC0210,59738-0
AC0211,59798-2
AC0212,59852-5
AC0213,59875-8
AC0214,59977-3
AC0215,70303-5
AC0216,70363-7
AC0217,70384-4
AC0218,70401-8
AC0219,70539-2
AC0220,70612-6
AC0221,70614-2
AC0222,70634-6
AC0223,70658-2
AC0224,70760-4
AC0225,70763-3
AC0226,71240-8
AC0227,71401-1
AC0228,71621-3
AC0229,71636-5
AC0230,46212-7
AC0231,71759-7
AC0232,71786-9
AC0233,71793-7
AC0234,71920-7
AC0235,72168-0
AC0236,72204-5
AC0237,72367-5
AC0238,72384-0
AC0239,72441-2
AC0240,72877-7
AC0241,72976-3
AC0242,73265-3
AC0243,73329-6
AC0244,73401-7
AC0246,73465-1
AC0247,73630-3
AC0248,73652-3
AC0249,73829-1
AC0250,73895-8
AC0251,74045-4
AC0252,74286-3
AC0253,74372-3
AC0254,74406-5
AC0255,74593-8
AC0256,74594-1
AC0257,74627-0
AC0258,74630-6
AC0259,74701-7
AC0260,74920-6
AC0261,75299-2
AC0262,75479-6
