FundraisedAmount,Main_ID,Description,EventYear
"2,290.65",02277-4,Reimagined,2022
"3,667.11",11698-A,Reimagined,2022
"2,250",11837-A,Reimagined,2022
"6,050",14579-0,Reimagined,2022
"4,243.55",23769-5,Reimagined,2022
"1,000",35902-3,Reimagined,2022
"25,896",52193-2,Reimagined,2022
"3,536.11",65807-0,Reimagined,2022
"6,104.57",65815-1,Reimagined,2022
"6,600",65824-5,Reimagined,2022
"6,025",73993-1,Reimagined,2022
"8,178.25",81190-1,Reimagined,2022
"2,000",92956-3,Reimagined,2022
"5,516.38",93011-2,Reimagined,2022
"3,050",93409-5,Reimagined,2022
"25,218.1",03285-8,Reimagined,2022
"4,905",03591-0,Reimagined,2022
0,03591-0,Reimagined,2022
"2,000",13470-1,Reimagined,2022
10,39834-3,Reimagined,2022
"20,606.85",52409-4,Reimagined,2022
"4,000",52546-2,Reimagined,2022
"10,991.5",56523-1,Reimagined,2022
"6,000",65860-1,Reimagined,2022
"5,500.11",65957-4,Reimagined,2022
"11,709",66181-8,Reimagined,2022
"2,000",75814-5,Reimagined,2022
"9,685",79713-5,Reimagined,2022
"3,990",79814-7,Reimagined,2022
"3,130",80033-6,Reimagined,2022
"2,000",01449-4,Reimagined,2022
"6,000",10604-A,Reimagined,2022
"4,000",10617-A,Reimagined,2022
"6,000",10639-A,Reimagined,2022
"6,265",02402-8,Reimagined,2022
"6,000",11553-A,Reimagined,2022
"1,075",11741-A,Reimagined,2022
"7,545.1",23685-8,Reimagined,2022
"3,816.35",35818-9,Reimagined,2022
"5,826",35894-3,Reimagined,2022
"17,000",65517-0,Reimagined,2022
"4,936",73468-0,Reimagined,2022
"4,000",73898-7,Reimagined,2022
"6,000",81529-5,Reimagined,2022
"4,109.43",81918-1,Reimagined,2022
"6,529.01",00764-7,Reimagined,2022
"11,261.11",13417-0,Reimagined,2022
"4,025",13462-0,Reimagined,2022
"5,780",13652-A,Reimagined,2022
"5,959",13704-1,Reimagined,2022
"6,000",27384-0,Reimagined,2022
"1,500",27384-0,Reimagined,2022
"2,702.61",39912-2,Reimagined,2022
"2,000",56542-2,Reimagined,2022
"1,500",56542-2,Reimagined,2022
"6,365",65959-0,Reimagined,2022
"2,000",91609-7,Reimagined,2022
"6,025.94",10596-A,Reimagined,2022
"6,000",10725-A,Reimagined,2022
"10,000",10763-A,Reimagined,2022
"6,000",10899-A,Reimagined,2022
"6,000",10911-A,Reimagined,2022
"6,025",10962-A,Reimagined,2022
"6,349.85",32236-4,Reimagined,2022
"8,795.74",40994-4,Reimagined,2022
"1,500",40994-4,Reimagined,2022
"22,009.25",48073-0,Reimagined,2022
"6,735",51715-3,Reimagined,2022
"3,345",59347-8,Reimagined,2022
"6,256",59502-3,Reimagined,2022
600,59502-3,Reimagined,2022
"6,036",63676-2,Reimagined,2022
"4,879",83682-1,Reimagined,2022
"4,999",83779-4,Reimagined,2022
"51,173.52",10080-A,Reimagined,2022
"2,410",11594-A,Reimagined,2022
"2,100",11600-A,Reimagined,2022
0,11638-A,Reimagined,2022
"2,000",11650-9,Reimagined,2022
"6,155",14526-6,Reimagined,2022
"6,000",18867-6,Reimagined,2022
"17,325",35995-5,Reimagined,2022
"3,176",56366-0,Reimagined,2022
"2,843.46",59589-0,Reimagined,2022
"1,610",59589-0,Reimagined,2022
0,59634-9,Reimagined,2022
"3,295",81363-7,Reimagined,2022
"2,125.2",81550-9,Reimagined,2022
"3,503.65",81569-3,Reimagined,2022
"3,000",93035-8,Reimagined,2022
"2,000",93366-9,Reimagined,2022
"3,950",13410-9,Reimagined,2022
"9,950",86349-6,Reimagined,2022
"4,185.56",90959-6,Reimagined,2022
"11,052",01510-5,Reimagined,2022
700,04117-9,Reimagined,2022
"6,000",10580-A,Reimagined,2022
"3,228",10699-A,Reimagined,2022
"6,000",10871-A,Reimagined,2022
"6,000",10901-A,Reimagined,2022
"6,771",48327-4,Reimagined,2022
"13,625",51488-4,Reimagined,2022
"7,760.28",59361-4,Reimagined,2022
"12,670",59395-7,Reimagined,2022
"5,025",19466-0,Reimagined,2022
"2,000",40875-4,Reimagined,2022
"2,850",41004-3,Reimagined,2022
"10,002",51475-8,Reimagined,2022
"2,770",64178-6,Reimagined,2022
"15,882.4",75396-2,Reimagined,2022
"6,828",83599-0,Reimagined,2022
"6,000",10135-2,Reimagined,2022
"42,698.29",27596-1,Reimagined,2022
"5,385",65900-8,Reimagined,2022
"10,641",66053-4,Reimagined,2022
"9,500",71809-1,Reimagined,2022
"9,500",71955-3,Reimagined,2022
"4,000",72053-9,Reimagined,2022
"27,875",01348-2,Reimagined,2022
"6,175",04281-9,Reimagined,2022
"10,770",04445-1,Reimagined,2022
"6,000",10563-A,Reimagined,2022
"6,000",10592-A,Reimagined,2022
"1,915",10695-A,Reimagined,2022
"4,045",10798-A,Reimagined,2022
0,10855-A,Reimagined,2022
"6,100",31256-5,Reimagined,2022
"6,025",39729-2,Reimagined,2022
"6,000",39764-5,Reimagined,2022
"16,000",65852-0,Reimagined,2022
"6,000",66096-1,Reimagined,2022
"3,000",75906-3,Reimagined,2022
